% Budget terms in the transport equation of turbulent kinetic energy and other useful terms
% Channel flow at Re_tau=2000, bulk Reynolds number: Re_b=Ub*delta/nu=43500
% Simulations performed using SIMSON on a (Lx,Ly,Lz)/delta=(2*pi,2,pi) domain on a grid of size 1152x480x960
% grid resolutions: dx+=10.9, dz+=6.5, dy+=0.04->26
% all quantities (except column 1) are reported in inner units
%
% 	y/h		y+	  	TKE+   	       u'v'+  	      du+/dy+	   dissipation+	    production+ 	  pressure_trans+  turbulent_trans+  viscous_diff+    convection+
%----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   9.4306469e-03	   1.8900740e+01	   5.3640075e+00	  -7.5288886e-01	   2.2952786e-01	  -1.1784545e-01	   1.7280921e-01	  -1.6294597e-03	  -4.4904627e-02	  -8.9107333e-03	  -3.6989123e-12	
   1.0348618e-02	   2.0740522e+01	   5.3338828e+00	  -7.8474462e-01	   1.9643953e-01	  -1.1147210e-01	   1.5415514e-01	  -1.4829896e-03	  -3.6697406e-02	  -6.3873199e-03	  -1.8204834e-12	
   1.1308968e-02	   2.2665239e+01	   5.2803702e+00	  -8.1116670e-01	   1.6886541e-01	  -1.0497666e-01	   1.3697827e-01	  -1.0933346e-03	  -2.8666537e-02	  -2.6401235e-03	   2.3223773e-10	
   1.2311637e-02	   2.4674772e+01	   5.2127395e+00	  -8.3293134e-01	   1.4576846e-01	  -9.8553024e-02	   1.2141538e-01	  -6.1549182e-04	  -2.1820311e-02	  -1.4314513e-03	   6.1227377e-11	
   1.3356686e-02	   2.6769239e+01	   5.1372724e+00	  -8.5080248e-01	   1.2662803e-01	  -9.2237450e-02	   1.0773569e-01	  -1.1011684e-04	  -1.6112311e-02	   9.8174263e-04	  -1.0002640e-07	
   1.4443934e-02	   2.8948284e+01	   5.0610194e+00	  -8.6537272e-01	   1.1052711e-01	  -8.6191095e-02	   9.5647372e-02	   3.3176196e-04	  -1.0984342e-02	  -7.4432162e-04	  -1.8883005e-12	
   1.5573442e-02	   3.1212025e+01	   4.9800811e+00	  -8.7722564e-01	   9.7554691e-02	  -8.0333859e-02	   8.5577644e-02	   7.2466576e-04	  -7.7318703e-03	   6.7316164e-04	   1.0382122e-07	
   1.6745090e-02	   3.3560223e+01	   4.8990545e+00	  -8.8682520e-01	   8.6360306e-02	  -7.4896812e-02	   7.6586619e-02	   1.0243979e-03	  -4.3492164e-03	   1.2629136e-03	   2.8476557e-10	
   1.7958879e-02	   3.5992878e+01	   4.8222532e+00	  -8.9458835e-01	   7.7116817e-02	  -6.9782980e-02	   6.8987884e-02	   1.2599523e-03	  -2.3296017e-03	   1.2359282e-03	   1.7516120e-12	
   1.9214749e-02	   3.8509872e+01	   4.7508521e+00	  -9.0083915e-01	   6.9231212e-02	  -6.5071680e-02	   6.2366229e-02	   1.3891500e-03	  -5.0771679e-04	   1.7606997e-03	  -8.8104274e-13	
   2.0512581e-02	   4.1110962e+01	   4.6877103e+00	  -9.0590066e-01	   6.2659182e-02	  -6.0716853e-02	   5.6763005e-02	   1.4406652e-03	   7.0178550e-04	   4.8935012e-04	   5.4871453e-08	
   2.1852374e-02	   4.3796154e+01	   4.6260290e+00	  -9.0997648e-01	   5.7310693e-02	  -5.6690861e-02	   5.2151367e-02	   1.4150945e-03	   1.4888888e-03	  -2.1921009e-04	   1.3659617e-12	
   2.3234129e-02	   4.6565441e+01	   4.5632119e+00	  -9.1323102e-01	   5.2541263e-02	  -5.3047046e-02	   4.7982283e-02	   1.3593168e-03	   2.3788526e-03	   1.7987897e-03	  -1.1215175e-07	
   2.4657667e-02	   4.9418472e+01	   4.5096335e+00	  -9.1570234e-01	   4.8469387e-02	  -4.9724057e-02	   4.4383489e-02	   1.2850371e-03	   3.2342405e-03	   2.9916162e-04	   5.6629581e-08	
   2.6123047e-02	   5.2355362e+01	   4.4590445e+00	  -9.1761416e-01	   4.5113504e-02	  -4.6658888e-02	   4.1396737e-02	   1.2118486e-03	   2.8994717e-03	   7.3097239e-04	   1.0719589e-13	
   2.7630091e-02	   5.5375751e+01	   4.4127569e+00	  -9.1903514e-01	   4.2110115e-02	  -4.3849654e-02	   3.8700618e-02	   1.1171455e-03	   3.5726847e-03	   3.6114495e-04	   4.5708543e-13	
   2.9178798e-02	   5.8479645e+01	   4.3678789e+00	  -9.2010057e-01	   3.9608285e-02	  -4.1268319e-02	   3.6444198e-02	   9.9003897e-04	   2.9218362e-03	  -4.2102896e-04	  -5.8152711e-08	
   3.0769110e-02	   6.1666920e+01	   4.3216076e+00	  -9.2090350e-01	   3.7255093e-02	  -3.8927391e-02	   3.4308325e-02	   8.4603066e-04	   3.1236848e-03	   2.1760073e-03	  -5.8624387e-08	
   3.2400906e-02	   6.4937340e+01	   4.2909255e+00	  -9.2151934e-01	   3.5125736e-02	  -3.6780957e-02	   3.2369040e-02	   7.1171578e-04	   2.6564058e-03	  -5.8443577e-04	  -4.1979776e-14	
   3.4074187e-02	   6.8290901e+01	   4.2562709e+00	  -9.2198348e-01	   3.3572339e-02	  -3.4777500e-02	   3.0953143e-02	   5.6577235e-04	   2.5446890e-03	  -4.2412023e-04	  -9.3411336e-14	
   3.5788834e-02	   7.1727364e+01	   4.2179561e+00	  -9.2226177e-01	   3.1825956e-02	  -3.2957099e-02	   2.9351870e-02	   3.9821755e-04	   2.4413567e-03	   1.2814185e-03	   8.8276710e-14	
   3.7544787e-02	   7.5246620e+01	   4.1890950e+00	  -9.2238528e-01	   3.0377556e-02	  -3.1265043e-02	   2.8020419e-02	   2.1825299e-04	   2.2830009e-03	  -5.4403715e-04	   1.4097544e-10	
   3.9341927e-02	   7.8848412e+01	   4.1588397e+00	  -9.2232168e-01	   2.9012738e-02	  -2.9707305e-02	   2.6759088e-02	   4.5208235e-05	   2.1674319e-03	   1.3402775e-03	  -1.2157687e-07	
   4.1180253e-02	   8.2532753e+01	   4.1381316e+00	  -9.2199832e-01	   2.7759181e-02	  -2.8265757e-02	   2.5593337e-02	  -1.2097576e-04	   2.2923835e-03	  -1.2922167e-03	   3.7228985e-13	
   4.3059647e-02	   8.6299408e+01	   4.1067543e+00	  -9.2138100e-01	   2.6818946e-02	  -2.6909301e-02	   2.4711054e-02	  -2.6994734e-04	   1.9547585e-03	   7.1480626e-04	   6.1586690e-08	
   4.4980049e-02	   9.0148239e+01	   4.0806041e+00	  -9.2051369e-01	   2.5611717e-02	  -2.5656231e-02	   2.3576526e-02	  -4.0165326e-04	   2.1447763e-03	   3.2475760e-04	  -1.4319250e-10	
   4.6941340e-02	   9.4079025e+01	   4.0590730e+00	  -9.1942191e-01	   2.4642566e-02	  -2.4471229e-02	   2.2656946e-02	  -4.7643189e-04	   2.1324405e-03	  -2.9171194e-04	   1.1380876e-12	
   4.8943460e-02	   9.8091644e+01	   4.0341501e+00	  -9.1824853e-01	   2.3737596e-02	  -2.3366870e-02	   2.1797076e-02	  -5.2709330e-04	   1.6459255e-03	   2.5436259e-04	  -2.3759358e-13	
   5.0986350e-02	   1.0218597e+02	   4.0117817e+00	  -9.1705936e-01	   2.2936871e-02	  -2.2342056e-02	   2.1035131e-02	  -5.1578425e-04	   1.4910535e-03	   1.2363856e-04	  -3.5032621e-13	
